id,region,label,label_morph_BLEACHED,label_morph,global_label,Dominant_morphologies,fg_global,full_name,grr,grr_description
103,Indian Ocean,CAL_CCA_DC,EAM/CCA,EAM/CCA,CCA,encrusting algae,Algae,Calcifying calcareous crustose algae: DHC ,CCA,Crustose coralline algae
104,Indian Ocean,CAL_CCA_RB,EAM/CCA,EAM/CCA,CCA,encrusting algae,Algae,Calcifying Calcareous Crustose Algae: Rubble ,CCA,Crustose coralline algae
105,Indian Ocean,CYANO_DHC,MACRO,MACRO,MACRO,"Upright macroalgae > 1 cm in height, Cyanobacteria",Algae,Cyanobacteria smothering dead coral ,CYANO,Cyanobacteria
106,Indian Ocean,EAM_DHC,EAM/CCA,EAM/CCA,EAM,Multi-specific algal assemblage smothering reef surface 1 cm or less in height,Algae,EAM: Dead Hard Coral ,EAM,Multi-specific assemblages of filamentous algae < 1 cm in height
107,Indian Ocean,EAM_RB,EAM/CCA,EAM/CCA,EAM,Multi-specific algal assemblage smothering reef surface 1 cm or less in height,Algae,Epilithic algal matirx smotheting rubble ,EAM,Multi-specific assemblages of filamentous algae < 1 cm in height
108,Indian Ocean,FISH,NAN,NAN,NAN,NAN,Other,Fish ,OTHER,Other including fish; trash; transect hardware; unknown
109,Indian Ocean,GEAR,NAN,NAN,NAN,NAN,Other,Fishing gear ,OTHER,Other including fish; trash; transect hardware; unknown
110,Indian Ocean,LSUB_SAND,NON_COLONIZABLE,NON_COLONIZABLE,NON_COLONIZABLE,unconsolidated,Other,Loose Substrate: Sand ,Sand,Sand. Unconsolidated reef sediment
111,Indian Ocean,MACR_Cal_H,MACRO,MACRO,MACRO,"Upright macroalgae > 1 cm in height, Cyanobacteria",Algae,Calcifying algae: Halimeda ,MALG,Upright macroalgae > 1 cm in height  (all genera and species)
112,Indian Ocean,MACR_Fil_A,MACRO,MACRO,MACRO,"Upright macroalgae > 1 cm in height, Cyanobacteria",Algae,Filamentous Macroalgae ,MALG,Upright macroalgae > 1 cm in height  (all genera and species)
113,Indian Ocean,MACR_Fol_O,MACRO,MACRO,MACRO,"Upright macroalgae > 1 cm in height, Cyanobacteria",Algae,Foliose Algae: Other ,MALG,Upright macroalgae > 1 cm in height  (all genera and species)
114,Indian Ocean,MASE_BLC,MSE_BL,MSE,BL,NA,Hard corals,Massive/Submassive/Encrusting bleached,OTH-HC,Other hard coral including all other groups not represented by the other coral categories in Maldives and Chagos (e.g. Fungia; bleached colonies)
115,Indian Ocean,MASE_LRG_I,MSE,MSE,MSE,"massive, sub-massive, encrusting",Hard corals,MASE: Isopora ,ACR-OTH,Other corals from the family Acroporidae (e.g. Isopora)
116,Indian Ocean,MASE_LRG_O,MSE,MSE,MSE,"massive, sub-massive, encrusting",Hard corals,MASE: Large Rounded Polyps ,MASE_LRG_O,Massive Submassive Encrusting colonies with large visible rounded polyps: Diploastrea; Favia; Favites; Montastraea; Galaxea; Goniopora; Astreopora
117,Indian Ocean,MASE_MEA_L,MSEM,MSEM,MSEM,"massive, sub-massive, encrusting mendroid",Hard corals,MASE: Lobophyllia ,LOBO,Lobophyllia sp.
118,Indian Ocean,MASE_MEA_O,MSEM,MSEM,MSEM,"massive, sub-massive, encrusting mendroid",Hard corals,MASE: Meandering Other ,MASE_MEA_O,Massive Submassive Encrusting colonies with meandering ridges and valleys resembling brain: Platygyra; Leptoria; Goniastrea
119,Indian Ocean,MASE_SML_O,MSE,MSE,MSE,"massive, sub-massive, encrusting",Hard corals,MASE: Small or Invis Polyps ,MASE_SML_O,Massive Submassive Encrusting colonies with small or invisible polyps  (including columnar forms): Pavona; Psammocorra; Coscinaraea; Gardineroseris
120,Indian Ocean,MASE_SMO_P,MSE,MSE,MSE,"massive, sub-massive, encrusting",Hard corals,MASE: Porites ,POR-MASS,Family Poritidae; massive/sub-massive morphology e.g. P. loACR_BRAta; P. lutea
121,Indian Ocean,MINV_COTS,OTHER,OTHER,OTHER,mobile invertebrates,Other Invertebrates,Crown of Thorns Sea Star ,COTS,Crown of Thorns Sea Star 
122,Indian Ocean,MINV_OTH,OTHER,OTHER,OTHER,mobile invertebrates,Other Invertebrates,Sea cucumbers/sea urchins/sea stars/lobster,MINV_OTH,Other mobile invertebrates: i.e Echinoderms; lobster
123,Indian Ocean,NON_FREE,NON_HERM,NON_HERM,FREE,free living,Hard corals,Non hermatypic: Free living (Fungia etc) ,OTH-HC,Other hard coral including all other groups not represented by the other coral categories in Maldives and Chagos (e.g. Fungia; bleached colonies)
123,Indian Ocean,NON_FREE,NON_HERM,NON_HERM,FREE,free living,Hard corals,Non hermatypic: Free living (Fungia etc) ,OTH-HC,Other hard coral including all other groups not represented by the other coral categories in Maldives and Chagos (e.g. Fungia; bleached colonies)
124,Indian Ocean,NON_MIL,NON_HERM,NON_HERM,NON_HERM,non-hermatypic,Hard corals,Non Hermatypic: Millepora ,Mille,Millepora sp.
125,Indian Ocean,SGRASS,NAN,NAN,NAN,NAN,Other,Seagrass,Seagrass,Seagrass
126,Indian Ocean,SINV_HEX_O,OTHER,OTHER,OTHER,mobile invertebrates,Other Invertebrates,Other sesile invertebrates soft hexacorrallia,OTH-SINV,Other sesile invertebrates: bryozoa; clams; tunicates (ascidians); soft hexacorrallia; hydroids
